,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
3238,Normal,normal1107,5444.305181561951,93,15,20,0,57,1
3239,Dangerous,dang1105,6026.305702135559,218,20,154,6,38,0
3240,Normal,normal1108,4906.955870305859,48,4,5,0,39,0
3241,Slow,slow1103,4894.861601892631,0,0,0,0,0,0
3242,Dangerous,dang1106,3401.853707560837,598,30,157,10,400,1
3243,Normal,normal1109,1508.7739781822943,50,47,1,0,0,2
3244,Slow,slow1102,3429.4289390867007,7,0,1,5,0,1
3245,Slow,slow1104,3957.8935931489636,9,0,0,9,0,0
3246,Dangerous,dang1107,5435.689016984195,423,83,185,15,138,2
3247,Slow,slow1105,4617.515757613278,6,0,1,5,0,0
3248,Dangerous,dang1108,4906.704189936198,234,10,106,5,110,3
3249,Dangerous,dang1109,1502.3343439878438,68,59,8,1,0,0
3250,Normal,normal1111,673.4940133573022,584,0,2,2,580,0
3251,Slow,slow1106,3385.385499377941,5,0,0,5,0,0
3252,Normal,normal1112,4033.950236821636,317,51,5,3,258,0
3253,Slow,slow1107,4961.965438774038,13,0,2,11,0,0
3254,Slow,slow1109,1513.5196093065852,2,0,0,2,0,0
3255,Normal,normal1113,2917.9642222987572,17,15,0,0,0,2
3256,Slow,slow1108,4903.596284034545,7,0,1,5,0,1
3257,Dangerous,dang1111,667.4957596843365,691,0,62,4,625,0
3258,Dangerous,dang1112,4694.596270756683,73,50,19,2,1,1
3259,Normal,normal1115,2213.7404381502015,8,2,0,0,5,1
3260,Dangerous,dang1113,2913.7633307045826,133,70,59,0,4,0
3261,Normal,normal1116,5377.111165594377,98,8,3,8,78,1
3262,Slow,slow1111,651.5234015622249,5,0,1,4,0,0
3263,Normal,normal1117,5731.053938939928,45,6,0,2,37,0
3264,Slow,slow1112,3950.000324295336,3,0,2,1,0,0
3265,Dangerous,dang1115,2212.31128176149,100,34,30,2,34,0
3266,Normal,normal1118,5611.947706268973,25,5,0,4,16,0
3267,Slow,slow1113,2916.3578766425626,0,0,0,0,0,0
3268,Dangerous,dang1116,5377.0656233629625,189,134,26,5,20,4
3269,Dangerous,dang1117,5729.06422410292,139,76,61,1,0,1
3270,Normal,normal1114,2807.51038042519,5,3,0,2,0,0
3271,Normal,normal1119,1441.9033659861288,10,10,0,0,0,0
3272,Normal,normal1120,668.9548964334635,3,0,0,0,3,0
3273,Slow,slow1115,2209.152704760444,0,0,0,0,0,0
3274,Slow,slow1117,5724.083232937057,0,0,0,0,0,0
3275,Dangerous,dang1118,5618.7184237939155,160,6,104,0,49,1
3276,Dangerous,dang1120,663.888878631014,67,0,40,2,25,0
3277,Normal,normal1121,838.9906315141573,1,1,0,0,0,0
3278,Slow,slow1116,5377.796720335941,6,0,3,3,0,0
3279,Dangerous,dang1114,2810.1572615895084,182,29,110,4,39,0
3280,Dangerous,dang1119,1436.3633279436028,104,12,81,2,9,0
3281,Normal,normal1122,3404.8925888379954,22,4,0,4,13,1
3282,Slow,slow1120,672.6119116343939,4,0,0,4,0,0
3283,Normal,normal1123,3591.06329159477,7,7,0,0,0,0
3284,Slow,slow1118,5231.057405933472,2,0,0,2,0,0
3285,Dangerous,dang1121,835.1269491951492,69,8,57,2,2,0
3286,Dangerous,dang1122,3396.0667893042437,212,54,110,4,44,0
3287,Normal,normal1124,5123.3893656321225,87,1,18,4,63,1
3288,Slow,slow1114,2809.7789735024453,5,0,0,4,0,1
3289,Slow,slow1119,1440.808862270212,0,0,0,0,0,0
3290,Normal,normal1125,2872.6855916343497,85,74,3,2,5,1
3291,Slow,slow1122,3401.6270643184353,3,0,1,2,0,0
3292,Dangerous,dang1123,3593.135490825831,58,9,32,1,15,1
3293,Normal,normal1126,2427.4714302029965,419,0,0,4,415,0
3294,Slow,slow1121,840.0292846234065,0,0,0,0,0,0
3295,Dangerous,dang1124,5121.979525996632,272,2,157,11,97,5
3296,Normal,normal1127,4208.983296559855,10,10,0,0,0,0
3297,Dangerous,dang1125,2147.9211869041837,259,36,28,14,180,1
3298,Slow,slow1123,3601.0937898955754,0,0,0,0,0,0
3299,Dangerous,dang1126,2456.257237914065,607,83,51,3,470,0
3300,Dangerous,dang1127,4205.684035719598,193,87,87,3,16,0
3301,Normal,normal1129,1836.1971479824442,61,43,3,1,14,0
3302,Slow,slow1124,5124.609847565601,8,0,3,4,0,1
3303,Slow,slow1125,2209.653886452408,5,0,1,4,0,0
3304,Slow,slow1127,4201.027151358707,8,0,0,8,0,0
3305,Dangerous,dang1129,1839.2056102376075,105,91,12,1,0,1
3306,Normal,normal1128,4368.933303831439,126,11,93,2,19,1
3307,Normal,normal1131,5622.680579996362,147,108,16,4,18,1
3308,Slow,slow1126,2411.513868478343,5,2,0,3,0,0
3309,Normal,normal1132,4637.597537626354,45,2,18,4,21,0
3310,Slow,slow1129,1841.7575032710827,2,0,0,2,0,0
3311,Normal,normal1133,2402.3211444651747,1,1,0,0,0,0
3312,Dangerous,dang1131,5622.945937909715,424,132,204,10,78,0
3313,Dangerous,dang1128,4376.574747257242,298,84,140,8,66,0
3314,Dangerous,dang1132,4718.351683140527,180,17,113,7,39,4
3315,Normal,normal1134,2835.1344148720505,14,1,1,2,10,0
3316,Normal,normal1135,4594.764654707972,68,6,4,3,55,0
3317,Dangerous,dang1133,2405.924606631392,174,1,121,1,51,0
3318,Normal,normal1136,4398.55377564918,28,4,9,4,11,0
3319,Slow,slow1131,5237.025135746374,5,0,0,5,0,0
3320,Normal,normal1137,582.8346195233278,0,0,0,0,0,0
3321,Slow,slow1128,4376.977494819112,7,0,1,6,0,0
