,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
432,Slow,slow145,4608.2051995098545,2,0,0,0,0,2
433,Dangerous,dang146,2451.4954972973683,131,65,39,4,23,0
434,Slow,slow146,2377.251639648991,0,0,0,0,0,0
435,Normal,normal147,6523.565598367307,0,0,0,0,0,0
436,Dangerous,dang147,6661.529962729533,209,150,43,1,14,1
437,Normal,normal148,4437.369178783543,3,3,0,0,0,0
438,Slow,slow147,6529.0569058894,0,0,0,0,0,0
439,Dangerous,dang148,4431.53457120092,64,48,15,0,0,1
440,Normal,normal149,1346.4522622689105,24,24,0,0,0,0
441,Slow,slow148,4436.1952041035265,2,0,0,0,0,2
442,Dangerous,dang149,1387.5104345059995,51,42,8,0,0,1
443,Normal,normal150,1606.5638853107155,0,0,0,0,0,0
444,Slow,slow149,1347.2570260536895,0,0,0,0,0,0
445,Dangerous,dang150,1583.5148112967154,29,9,17,0,2,1
446,Normal,normal151,6008.300527930542,3,3,0,0,0,0
447,Slow,slow150,1604.6929823675512,0,0,0,0,0,0
448,Dangerous,dang151,6001.80460370594,213,5,137,0,71,0
449,Normal,normal152,4807.579592286325,3,2,0,0,0,1
450,Slow,slow151,6000.0087697682975,1,0,0,0,0,1
451,Dangerous,dang152,4821.4659269277245,124,8,77,0,38,1
452,Normal,normal153,5951.866158561171,7,3,0,0,0,4
453,Slow,slow152,4785.990732918357,1,0,0,0,0,1
454,Dangerous,dang153,5959.608532988287,203,94,40,7,61,1
455,Normal,normal154,4257.594284629767,60,60,0,0,0,0
456,Slow,slow153,5958.0429157507115,1,0,0,0,0,1
457,Dangerous,dang154,4263.332941092625,448,35,55,16,329,13
458,Normal,normal155,4190.075477518873,0,0,0,0,0,0
459,Slow,slow154,4254.695713522891,1,0,0,0,0,1
460,Dangerous,dang155,4392.134950327095,74,18,53,2,1,0
461,Normal,normal156,4643.72014429293,1,1,0,0,0,0
462,Slow,slow155,4191.486792427322,0,0,0,0,0,0
463,Dangerous,dang156,4746.4012541378825,147,28,66,1,50,2
464,Normal,normal157,1502.57604216104,2,2,0,0,0,0
465,Slow,slow156,4649.14134536411,1,0,0,0,0,1
466,Dangerous,dang157,1484.2933245450013,53,10,20,3,19,1
467,Normal,normal158,4964.075942050097,27,27,0,0,0,0
468,Slow,slow157,1502.7021291033814,0,0,0,0,0,0
469,Dangerous,dang158,4972.583199894121,353,118,149,6,78,2
470,Normal,normal159,6641.217530128382,58,57,0,0,0,1
471,Slow,slow158,4960.838133526537,1,0,0,0,0,1
472,Dangerous,dang159,6643.526255819796,42,24,14,3,1,0
473,Normal,normal160,2098.855187461233,8,7,0,0,0,1
474,Slow,slow159,6638.267189417275,0,0,0,0,0,0
475,Dangerous,dang160,2091.297289496083,147,10,115,0,20,2
476,Normal,normal161,6342.497490595806,3,2,1,0,0,0
477,Slow,slow160,2095.1026535678216,2,0,0,0,0,2
478,Dangerous,dang161,6353.244141020439,79,6,67,2,3,1
479,Normal,normal162,1028.578661953691,1,1,0,0,0,0
480,Slow,slow161,6348.03355998464,0,0,0,0,0,0
481,Dangerous,dang162,1057.5343380763131,57,29,27,0,1,0
482,Normal,normal163,5579.406978458615,73,72,0,0,0,1
483,Slow,slow162,1030.2111016386166,0,0,0,0,0,0
484,Dangerous,dang163,5570.447172247406,172,37,108,1,23,3
485,Normal,normal164,1097.6577872108971,0,0,0,0,0,0
486,Slow,slow163,5579.997034720092,1,0,0,0,0,1
487,Dangerous,dang164,1108.8743362686657,68,1,34,6,27,0
488,Normal,normal165,716.1893689278212,0,0,0,0,0,0
489,Slow,slow164,1102.3891933660623,0,0,0,0,0,0
490,Dangerous,dang165,711.1205252635136,52,1,48,0,3,0
491,Normal,normal166,3682.711523189854,7,5,0,0,0,2
492,Slow,slow165,709.4865684027639,0,0,0,0,0,0
493,Dangerous,dang166,3669.289432911098,127,79,22,14,8,4
494,Normal,normal167,2415.833465364964,45,45,0,0,0,0
495,Slow,slow166,3679.504340419183,3,0,1,0,0,2
496,Dangerous,dang167,2463.9399858188217,111,38,68,0,5,0
497,Normal,normal168,4469.262986035248,55,54,0,0,0,1
498,Slow,slow167,2418.4409820961914,1,0,0,0,0,1
499,Dangerous,dang168,4648.0991385520365,33,30,3,0,0,0
500,Normal,normal169,2627.1167757327944,1,0,0,0,0,1
501,Slow,slow168,4471.641294729853,0,0,0,0,0,0
502,Dangerous,dang169,2609.467111873392,4,4,0,0,0,0
503,Slow,slow169,2622.3120561715923,3,0,2,0,0,1
504,Normal,normal171,4704.447641591216,5,4,0,0,0,1
505,Dangerous,dang171,4694.9014657127955,75,62,11,1,1,0
506,Normal,normal172,9211.570492597359,3,3,0,0,0,0
507,Slow,slow171,4703.011778898441,1,0,0,0,0,1
508,Dangerous,dang172,9212.423123665687,314,78,233,0,3,0
509,Normal,normal173,4350.171406933866,3,3,0,0,0,0
510,Slow,slow172,9217.910678504091,1,0,0,0,0,1
511,Dangerous,dang173,4345.258605668163,92,3,82,2,5,0
512,Normal,normal174,3599.664249869895,12,12,0,0,0,0
